"","date","MW","city","cluster"
"22678",2013-01-01,-0.585607421115724,"City of North Little Rock","4"
"22679",2013-01-02,-0.157490018356314,"City of North Little Rock","4"
"22680",2013-01-03,-0.151003391041765,"City of North Little Rock","4"
"22681",2013-01-04,-0.207761380043985,"City of North Little Rock","4"
"22682",2013-01-05,-0.340737239991971,"City of North Little Rock","4"
"22683",2013-01-06,-0.375440696124741,"City of North Little Rock","4"
"22684",2013-01-07,-0.396522234896982,"City of North Little Rock","4"
"22685",2013-01-08,-0.422144412789404,"City of North Little Rock","4"
"22686",2013-01-09,-0.469496792185517,"City of North Little Rock","4"
"22687",2013-01-10,-0.460415513945166,"City of North Little Rock","4"
"22688",2013-01-11,-0.46917246081979,"City of North Little Rock","4"
"22689",2013-01-12,-0.628743492757391,"City of North Little Rock","4"
"22690",2013-01-13,-0.732205198424248,"City of North Little Rock","4"
"22691",2013-01-14,-0.609283610813779,"City of North Little Rock","4"
"22692",2013-01-15,-0.432523016492662,"City of North Little Rock","4"
"22693",2013-01-16,-0.277492623675242,"City of North Little Rock","4"
"22694",2013-01-17,-0.108191650765837,"City of North Little Rock","4"
"22695",2013-01-18,-0.0254871525054987,"City of North Little Rock","4"
"22696",2013-01-19,-0.215869664187148,"City of North Little Rock","4"
"22697",2013-01-20,-0.482145715448869,"City of North Little Rock","4"
"22698",2013-01-21,-0.567444864635022,"City of North Little Rock","4"
"22699",2013-01-22,-0.543444343571239,"City of North Little Rock","4"
"22700",2013-01-23,-0.527227775284893,"City of North Little Rock","4"
"22701",2013-01-24,-0.420198424595043,"City of North Little Rock","4"
"22702",2013-01-25,-0.281384600063964,"City of North Little Rock","4"
"22703",2013-01-26,-0.331655961751622,"City of North Little Rock","4"
"22704",2013-01-27,-0.515551846118732,"City of North Little Rock","4"
"22705",2013-01-28,-0.605391634425065,"City of North Little Rock","4"
"22706",2013-01-29,-0.699123399120114,"City of North Little Rock","4"
"22707",2013-01-30,-0.745178453053321,"City of North Little Rock","4"
"22708",2013-01-31,-0.672852558496242,"City of North Little Rock","4"
"22709",2013-02-01,-0.520416816604636,"City of North Little Rock","4"
"22710",2013-02-02,-0.511335538364285,"City of North Little Rock","4"
"22711",2013-02-03,-0.570039515560841,"City of North Little Rock","4"
"22712",2013-02-04,-0.562904225514853,"City of North Little Rock","4"
"22713",2013-02-05,-0.623878522271494,"City of North Little Rock","4"
"22714",2013-02-06,-0.699123399120115,"City of North Little Rock","4"
"22715",2013-02-07,-0.694907091365666,"City of North Little Rock","4"
"22716",2013-02-08,-0.64658171787237,"City of North Little Rock","4"
"22717",2013-02-09,-0.686474475856767,"City of North Little Rock","4"
"22718",2013-02-10,-0.773395281871556,"City of North Little Rock","4"
"22719",2013-02-11,-0.791557838352259,"City of North Little Rock","4"
"22720",2013-02-12,-0.735124180715794,"City of North Little Rock","4"
"22721",2013-02-13,-0.671555233033336,"City of North Little Rock","4"
"22722",2013-02-14,-0.642689741483648,"City of North Little Rock","4"
"22723",2013-02-15,-0.570363846926565,"City of North Little Rock","4"
"22724",2013-02-16,-0.569066521463658,"City of North Little Rock","4"
"22725",2013-02-17,-0.679339185810776,"City of North Little Rock","4"
"22726",2013-02-18,-0.724745577012531,"City of North Little Rock","4"
"22727",2013-02-19,-0.720204937892356,"City of North Little Rock","4"
"22728",2013-02-20,-0.589499397504443,"City of North Little Rock","4"
"22729",2013-02-21,-0.410792814988964,"City of North Little Rock","4"
"22730",2013-02-22,-0.277168292309515,"City of North Little Rock","4"
"22731",2013-02-23,-0.281060268698237,"City of North Little Rock","4"
"22732",2013-02-24,-0.349169855500871,"City of North Little Rock","4"
"22733",2013-02-25,-0.415982116840602,"City of North Little Rock","4"
"22734",2013-02-26,-0.501281266026754,"City of North Little Rock","4"
"22735",2013-02-27,-0.508092224707018,"City of North Little Rock","4"
"22736",2013-02-28,-0.437712318344299,"City of North Little Rock","4"
"22737",2013-03-01,-0.311547417076567,"City of North Little Rock","4"
"22738",2013-03-02,-0.314466399368108,"City of North Little Rock","4"
"22739",2013-03-03,-0.394251915336907,"City of North Little Rock","4"
"22740",2013-03-04,-0.437063655612848,"City of North Little Rock","4"
"22741",2013-03-05,-0.488308011397684,"City of North Little Rock","4"
"22742",2013-03-06,-0.523660130261903,"City of North Little Rock","4"
"22743",2013-03-07,-0.556741929566037,"City of North Little Rock","4"
"22744",2013-03-08,-0.566147539172114,"City of North Little Rock","4"
"22745",2013-03-09,-0.682906830833769,"City of North Little Rock","4"
"22746",2013-03-10,-0.797847046574611,"City of North Little Rock","4"
"22747",2013-03-11,-0.819252916712581,"City of North Little Rock","4"
"22748",2013-03-12,-0.819577248078307,"City of North Little Rock","4"
"22749",2013-03-13,-0.812441958032318,"City of North Little Rock","4"
"22750",2013-03-14,-0.723899495188894,"City of North Little Rock","4"
"22751",2013-03-15,-0.644635729678003,"City of North Little Rock","4"
"22752",2013-03-16,-0.7545840626594,"City of North Little Rock","4"
"22753",2013-03-17,-0.889830242167486,"City of North Little Rock","4"
"22754",2013-03-18,-0.913506431865544,"City of North Little Rock","4"
"22755",2013-03-19,-0.92615535512889,"City of North Little Rock","4"
"22756",2013-03-20,-0.918695733717173,"City of North Little Rock","4"
"22757",2013-03-21,-0.807125743907145,"City of North Little Rock","4"
"22758",2013-03-22,-0.635230120071928,"City of North Little Rock","4"
"22759",2013-03-23,-0.6300408182203,"City of North Little Rock","4"
"22760",2013-03-24,-0.63912209646065,"City of North Little Rock","4"
"22761",2013-03-25,-0.531768414405068,"City of North Little Rock","4"
"22762",2013-03-26,-0.49155132505494,"City of North Little Rock","4"
"22763",2013-03-27,-0.511335538364278,"City of North Little Rock","4"
"22764",2013-03-28,-0.504200248318288,"City of North Little Rock","4"
"22765",2013-03-29,-0.533390071233702,"City of North Little Rock","4"
"22766",2013-03-30,-0.718583281063722,"City of North Little Rock","4"
"22767",2013-03-31,-0.916749745522815,"City of North Little Rock","4"
"22768",2013-04-01,-0.998805581051699,"City of North Little Rock","4"
"22769",2013-04-02,-0.997183924223065,"City of North Little Rock","4"
"22770",2013-04-03,-0.888532916704579,"City of North Little Rock","4"
"22771",2013-04-04,-0.757503044950944,"City of North Little Rock","4"
"22772",2013-04-05,-0.647230380603824,"City of North Little Rock","4"
"22773",2013-04-06,-0.706258689166106,"City of North Little Rock","4"
"22774",2013-04-07,-0.828207282679392,"City of North Little Rock","4"
"22775",2013-04-08,-0.904100822259469,"City of North Little Rock","4"
"22776",2013-04-09,-0.885938265778762,"City of North Little Rock","4"
"22777",2013-04-10,-0.775341270065917,"City of North Little Rock","4"
"22778",2013-04-11,-0.695555754097118,"City of North Little Rock","4"
"22779",2013-04-12,-0.599229338476251,"City of North Little Rock","4"
"22780",2013-04-13,-0.691988109074123,"City of North Little Rock","4"
"22781",2013-04-14,-0.864856727006524,"City of North Little Rock","4"
"22782",2013-04-15,-0.950155876192676,"City of North Little Rock","4"
"22783",2013-04-16,-0.76658432319129,"City of North Little Rock","4"
"22784",2013-04-17,-0.530471088942161,"City of North Little Rock","4"
"22785",2013-04-18,-0.335547938140339,"City of North Little Rock","4"
"22786",2013-04-19,-0.259654398560262,"City of North Little Rock","4"
"22787",2013-04-20,-0.365062092421481,"City of North Little Rock","4"
"22788",2013-04-21,-0.652095351089723,"City of North Little Rock","4"
"22789",2013-04-22,-0.89145189899612,"City of North Little Rock","4"
"22790",2013-04-23,-0.987129651885534,"City of North Little Rock","4"
"22791",2013-04-24,-0.986805320519807,"City of North Little Rock","4"
"22792",2013-04-25,-0.917074076888539,"City of North Little Rock","4"
"22793",2013-04-26,-0.841829200039916,"City of North Little Rock","4"
"22794",2013-04-27,-0.915776751425633,"City of North Little Rock","4"
"22795",2013-04-28,-1.02929272943002,"City of North Little Rock","4"
"22796",2013-04-29,-0.970588752233466,"City of North Little Rock","4"
"22797",2013-04-30,-0.855775448766167,"City of North Little Rock","4"
"22798",2013-05-01,-0.757827376316663,"City of North Little Rock","4"
"22799",2013-05-02,-0.634257125974743,"City of North Little Rock","4"
"22800",2013-05-03,-0.541822686742597,"City of North Little Rock","4"
"22801",2013-05-04,-0.642365410117914,"City of North Little Rock","4"
"22802",2013-05-05,-0.848640158720177,"City of North Little Rock","4"
"22803",2013-05-06,-0.926155355128891,"City of North Little Rock","4"
"22804",2013-05-07,-0.922263378740169,"City of North Little Rock","4"
"22805",2013-05-08,-0.814261033953136,"City of North Little Rock","4"
"22806",2013-05-09,-0.666690262547433,"City of North Little Rock","4"
"22807",2013-05-10,-0.494794638712216,"City of North Little Rock","4"
"22808",2013-05-11,-0.491551325054948,"City of North Little Rock","4"
"22809",2013-05-12,-0.624527185002946,"City of North Little Rock","4"
"22810",2013-05-13,-0.681285174005141,"City of North Little Rock","4"
"22811",2013-05-14,-0.603445646230702,"City of North Little Rock","4"
"22812",2013-05-15,-0.519119491141731,"City of North Little Rock","4"
"22813",2013-05-16,-0.451982898436278,"City of North Little Rock","4"
"22814",2013-05-17,-0.202896409558074,"City of North Little Rock","4"
"22815",2013-05-18,-0.0705692123415311,"City of North Little Rock","4"
"22816",2013-05-19,-0.0160815428994245,"City of North Little Rock","4"
