YR,M,D,HR,MIN,DM
2006,1,1,1,0,5164.6
2006,1,1,2,0,4950
2006,1,1,3,0,4716.2
2006,1,1,4,0,4553.5
2006,1,1,5,0,4445.2
2006,1,1,6,0,4427
2006,1,1,7,0,4463.8
2006,1,1,8,0,4469.6
2006,1,1,9,0,4574.2
2006,1,1,10,0,4769.7
2006,1,1,11,0,4955.9
2006,1,1,12,0,5115.1
2006,1,1,13,0,5200
2006,1,1,14,0,5225.6
2006,1,1,15,0,5248
2006,1,1,16,0,5321.3
2006,1,1,17,0,5533.2
2006,1,1,18,0,5793.7
2006,1,1,19,0,5800.5
2006,1,1,20,0,5750
2006,1,1,21,0,5643.9
2006,1,1,22,0,5541.3
2006,1,1,23,0,5363.4
2006,1,1,24,0,5079.6
2006,1,2,1,0,4767.5
2006,1,2,2,0,4535.2
2006,1,2,3,0,4365.9
2006,1,2,4,0,4273.3
2006,1,2,5,0,4246.7
2006,1,2,6,0,4337.3
2006,1,2,7,0,4523.3
2006,1,2,8,0,4668.2
2006,1,2,9,0,4907.3
2006,1,2,10,0,5191.1
2006,1,2,11,0,5451.7
2006,1,2,12,0,5600.2
2006,1,2,13,0,5644.6
2006,1,2,14,0,5692.6
2006,1,2,15,0,5738
2006,1,2,16,0,5822.1
2006,1,2,17,0,6101.5
2006,1,2,18,0,6359.7
2006,1,2,19,0,6346.2
2006,1,2,20,0,6238.9
2006,1,2,21,0,6063.6
2006,1,2,22,0,5852.2
2006,1,2,23,0,5545.7
2006,1,2,24,0,5116
2006,1,3,1,0,4744.8
2006,1,3,2,0,4528.1
2006,1,3,3,0,4390
2006,1,3,4,0,4332.6
2006,1,3,5,0,4364
2006,1,3,6,0,4643.8
2006,1,3,7,0,5218.2
2006,1,3,8,0,5899.8
2006,1,3,9,0,6269.3
2006,1,3,10,0,6616.9
2006,1,3,11,0,6778.2
2006,1,3,12,0,6885.7
2006,1,3,13,0,6890.7
2006,1,3,14,0,6894.7
2006,1,3,15,0,6874.9
2006,1,3,16,0,6933.8
2006,1,3,17,0,7097.8
2006,1,3,18,0,7286.5
2006,1,3,19,0,7061.3
2006,1,3,20,0,6840.5
2006,1,3,21,0,6559
2006,1,3,22,0,6281.6
2006,1,3,23,0,5895.9
2006,1,3,24,0,5395
2006,1,4,1,0,4954.3
2006,1,4,2,0,4679.4
2006,1,4,3,0,4539.8
2006,1,4,4,0,4474.5
2006,1,4,5,0,4498.7
2006,1,4,6,0,4763.6
2006,1,4,7,0,5349.3
2006,1,4,8,0,5939.3
2006,1,4,9,0,6315.6
2006,1,4,10,0,6514.8
2006,1,4,11,0,6624.2
2006,1,4,12,0,6677.3
2006,1,4,13,0,6688.4
2006,1,4,14,0,6661
2006,1,4,15,0,6655.5
2006,1,4,16,0,6691.7
2006,1,4,17,0,6901.5
2006,1,4,18,0,7160.1
2006,1,4,19,0,7018.1
2006,1,4,20,0,6811.2
2006,1,4,21,0,6559.2
2006,1,4,22,0,6233.1
2006,1,4,23,0,5851.1
2006,1,4,24,0,5352.5
2006,1,5,1,0,4907.6
2006,1,5,2,0,4621
2006,1,5,3,0,4458.4
2006,1,5,4,0,4371.8
2006,1,5,5,0,4386.5
2006,1,5,6,0,4661.9
2006,1,5,7,0,5234.7
2006,1,5,8,0,5891.5
2006,1,5,9,0,6265.5
2006,1,5,10,0,6550.3
2006,1,5,11,0,6623.5
2006,1,5,12,0,6656
2006,1,5,13,0,6640.6
2006,1,5,14,0,6629.6
2006,1,5,15,0,6605.3
2006,1,5,16,0,6631.3
2006,1,5,17,0,6783.3
2006,1,5,18,0,7064.5
2006,1,5,19,0,6894.1
2006,1,5,20,0,6681.1
2006,1,5,21,0,6416.4
2006,1,5,22,0,6111.8
2006,1,5,23,0,5744.4
