,case fatality rate ,note,average basic reproductive rate ,primary mode of transmission ,survival time on surfaces,"survival in ideal conditions (ie. blood, faeces)",note,pathogen type,infectious dose,viral load in acute stage,,yearly fatalities,,,yearly fatalities,yearly fatalities,yearly fatalities,,,lower R0,upper R0,"survival time on surfaces, room temp (hours)",lower,infectious dose second source,infectious dose third source,note,sources,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/index-eng.php#v,yearly fatalities,http://www.who.int/healthinfo/global_burden_disease/estimates/en/index1.html,http://www.cdc.gov/mmwr/PDF/wk/mm6153.pdf,http://en.wikipedia.org/wiki/Human_mortality_from_H5N1,"individual links given in hidden columns to right, where different",,,infectious dose,,
grey = not plotted,healthy adult,,"also known as ""R0""",,days,days,,,"pathogen particles required to infect
 (* = animal dose)",virus particles / 1mL,,"World, rounded","World, raw",,"US, rounded","Africa, rounded","Africa, raw",,,,,,,http://www.plospathogens.org/article/info%3Adoi%2F10.1371%2Fjournal.ppat.1002512,http://www.phidias.us/hazard/query/query_detail.php?c_hazard_ID=67,,,,,,,,,,,,,
Anthrax (untreated),20%,,,,,,,bacterium,"100,000",,,-,-,,0,-,-,,,,,,,"20,250",,,,https://www.google.com/search?sourceid=chrome-psyapi2&ion=1&espv=2&ie=UTF-8&q=anthrax%20case%20fatality%20rate,,,,,,,,http://en.wikipedia.org/wiki/Infectious_dose,,
Bird Flu (H5N1),60%,,1,airborne droplet,2,35,,virus,unknown,,,18,18,2013,0,3,3,2013,,1,4,,6,,,,,http://en.wikipedia.org/wiki/Influenza_A_virus_subtype_H5N1,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/influenza-a-eng.php,http://www.nature.com/srep/2013/130710/srep02175/full/srep02175.html,,,,,,https://microbewiki.kenyon.edu/index.php/H5N1_Influenza_A,,
Bubonic Plague (untreated),60%,,1,bites,3,100,human blood,bacterium,100,,,-,-,"1-2000 cases a year, mortality rate unknown http://www.cdc.gov/plague/maps/",0,-,-,"globally 1-2000 cases a year, mortality rate unknown esp. in undeveloped countires http://www.cdc.gov/plague/maps/",,,,72,,,"10-40,000,000",,,http://en.wikipedia.org/wiki/List_of_human_disease_case_fatality_rates,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0008401,,,,,,,http://www.cdc.gov/biosafety/publications/bmbl5/BMBL5_sect_VIII_a.pdf,,
C.Difficile,24%,,1.25,fecal-oral,60,90,,bacterium,<100,,,-,-,http://www.aricjournal.com/content/1/1/20,"7,300",-,-,,,0.5,2,,,,,,,http://wwwnc.cdc.gov/eid/article/18/2/10-1611_article,http://www.nhs.uk/chq/Pages/how-long-do-bacteria-and-viruses-live-outside-the-body.aspx,http://www.ncbi.nlm.nih.gov/pubmed/21558767,,,,,,http://wwwnc.cdc.gov/eid/article/15/5/08-1186_article,http://www.bio-protocol.org/e1002,
Campylobacter,1.20%,,0.19,food,0.6,28,"in cold water, animal R0 figure",bacterium,500,,,-,-,http://apps.who.int/iris/bitstream/10665/80751/1/9789241564601_eng.pdf,"4,000",-,-,,,,,,,550,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1236927/,http://www.nhs.uk/chq/Pages/how-long-do-bacteria-and-viruses-live-outside-the-body.aspx,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/campylobacter-coli-eng.php,http://www.mssanz.org.au/modsim2011/B2/parshotam.pdf,,,,,http://wwwnc.cdc.gov/travel/yellowbook/2014/chapter-3-infectious-diseases-related-to-travel/campylobacteriosis,,
Chicken Pox,0.00%,,8.5,airborne droplet,0.2,2,,virus,unknown,"100,000,000",,-,-,http://www.who.int/immunization/sage/meetings/2014/april/2_SAGE_April_VZV_Seward_Varicella.pdf?ua=1,16,-,-,http://www.who.int/immunization/sage/meetings/2014/april/2_SAGE_April_VZV_Seward_Varicella.pdf?ua=1,,7,10,4,,,,,,http://en.wikipedia.org/wiki/List_of_human_disease_case_fatality_rates,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/var-zo-eng.php,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/var-zo-eng.php,http://www.msdsonline.com/resources/msds-resources/free-safety-data-sheet-index/varicella-zoster-virus.aspx,,,http://jcm.asm.org/content/38/6/2447/F1.expansion.html,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/var-zo-eng.php,,
Cholera,1.63%,,2.13,,,,,bacterium,"1,000,000",,,"94,000","93,992",estimated. http://www.scielosp.org/scielo.php?pid=S0042-96862012000300013&script=sci_arttext,0,"55,000","55,319",estimated. AFR-D + AFR-E endemic + African non-endemic countries http://www.scielosp.org/scielo.php?pid=S0042-96862012000300013&script=sci_arttext,,1.63,2.63,,,"33,334,000,000",,"infectious dose is serotypes O139, O1",,http://www.who.int/gho/epidemic_diseases/cholera/case_fatality_rate/en/,http://www.nature.com/srep/2013/130110/srep00997/full/srep00997.html,,,,,,,http://en.wikipedia.org/wiki/Infectious_dose,,
Dengue Fever,5%,,3,bites,,,,virus,unknown,,,"29,000","28,755",2012,1,"1,900","1,935",2012,,,,,,,,,,http://www.idpjournal.com/content/3/1/12,http://www.cdc.gov/dengue/faqFacts/fact.html,,,,,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds50e-eng.php,,
Diphtheria,7.50%,,6.5,body fluids,,,,bacterium,unknown,,,"2,600","2,615",2012,0,"1,700","1,730",2012,,6,7,,,,,,,http://www.cdc.gov/diphtheria/clinicians.html,,,,,,,,http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds51e-eng.php,,
