PUMA,2005_MHI,2005_MGR,2005_MHV,2005_RMB,2005_OCC,2005_EDU,2005_UTF,2005_WHT,2005_NDX,2006_MHI,2006_MGR,2006_MHV,2006_RMB,2006_OCC,2006_EDU,2006_UTF,2006_WHT,2006_NDX,2007_MHI,2007_MGR,2007_MHV,2007_RMB,2007_OCC,2007_EDU,2007_UTF,2007_WHT,2007_NDX,2008_MHI,2008_MGR,2008_MHV,2008_RMB,2008_OCC,2008_EDU,2008_UTF,2008_WHT,2008_NDX,2009_MHI,2009_MGR,2009_MHV,2009_RMB,2009_OCC,2009_EDU,2009_UTF,2009_WHT,2009_NDX,2010_MHI,2010_MGR,2010_MHV,2010_RMB,2010_OCC,2010_EDU,2010_UTF,2010_WHT,2010_NDX,2011_MHI,2011_MGR,2011_MHV,2011_RMB,2011_OCC,2011_EDU,2011_UTF,2011_WHT,2011_NDX,trend_MHI,trend_MGR,trend_MHV,trend_RMB,trend_OCC,trend_EDU,trend_UTF,trend_WHT,trend_NDX,NAME
3701,43000,890,225000,0.316899295,0.202510418,0.380973676,0.468187824,0.36389877,-0.349338918,58000,930,625000,0.278522152,0.251855722,0.445598515,0.451507999,0.416096137,-0.073153132,60759.10588,971.4516129,625000,0.288012904,0.248072614,0.406832736,0.450143782,0.376664961,-0.11202439,70000,1040,1.00E+06,0.323312395,0.229471261,0.471139819,0.495234545,0.392226148,0.414625993,60189.06516,1032.678049,432846.89,0.294375118,0.268067755,0.479498123,0.446792295,0.419421527,-0.106245599,55000,1110,5.00E+05,0.294156008,0.252335677,0.469629317,0.451191448,0.375477908,-0.107595915,59453.125,1149.620853,5.00E+05,0.330711819,0.209836477,0.48695585,0.461756155,0.338491109,-0.062188408,16453.125,259.6208531,275000,0.013812524,0.00732606,0.105982174,-0.006431669,-0.025407661,0.28715051,"Riverdale, Fieldston & Kingsbridge"
3702,40540.4878,860,350000,0.303926352,0.189350697,0.249735741,0.494940313,0.074027878,-0.524352017,44676.44628,929.7297297,450000,0.369480216,0.191600482,0.284160251,0.545731914,0.082236264,-0.142670307,46431.8408,950,450000,0.287878472,0.214598442,0.305548622,0.523398658,0.085762472,-0.333949488,50000,990,442295.1542,0.365142131,0.207836913,0.313723874,0.48924709,0.079805142,-0.293915945,48000,1020,450000,0.34011223,0.210270522,0.339829418,0.493058978,0.076618203,-0.324808978,44620.37915,1020,396743.4211,0.337816323,0.181096565,0.317380022,0.503885066,0.075784302,-0.38779395,44656.60377,1100.26087,385000,0.28680203,0.188257573,0.339963657,0.506283375,0.066112941,-0.438296539,4116.115969,240.2608696,35000,-0.017124321,-0.001093124,0.090227917,0.011343062,-0.007914937,0.086055477,"Wakefield, Williamsbridge & Woodlawn"
3703,45000,780,350000,0.267761669,0.202020726,0.31812948,0.383097686,0.453449653,-0.581249994,53963.72093,870,450000,0.269252758,0.183525694,0.322982402,0.410093474,0.446745952,-0.401679965,52832.29167,865.8333333,450000,0.220685021,0.183087281,0.348036989,0.413668073,0.46224854,-0.515078844,55223.07692,1004.294872,350000,0.2820492,0.20492702,0.345396766,0.417177756,0.392893853,-0.4147807,50000,1000,370267.6056,0.245488481,0.181201744,0.372344037,0.423570067,0.385548776,-0.545759972,51246.98795,1057.904192,4.00E+05,0.2790068,0.19376992,0.360672505,0.365266071,0.376736286,-0.51867519,59000,1100,4.00E+05,0.285461456,0.188098668,0.42737046,0.420811055,0.366236155,-0.315766318,14000,320,50000,0.017699788,-0.013922058,0.10924098,0.037713369,-0.087213498,0.265483676,"Co-op City, Pelham Bay & Schuylerville"
3704,44884.95575,865.8152174,350000,0.386587055,0.180768546,0.318421878,0.490365623,0.298551241,-0.178628641,46131.4433,900,450000,0.311217982,0.153868322,0.262499177,0.471057572,0.335081681,-0.363334042,45000,990,450000,0.358252387,0.178408339,0.313057034,0.496897931,0.304671999,-0.150525955,45012.45421,950,5.00E+05,0.391494887,0.147677902,0.319737639,0.477430329,0.270315002,-0.269691234,53000,1015.026738,525000,0.355211962,0.166648265,0.325559937,0.439771293,0.295063091,-0.318839511,48119.25134,1050,450000,0.342796387,0.175682559,0.329123851,0.492727728,0.267113486,-0.263936643,44561.29032,1090,5.00E+05,0.3480842,0.17334353,0.330233361,0.461879389,0.259114905,-0.34699279,-323.6654296,224.1847826,150000,-0.038502855,-0.007425017,0.011811483,-0.028486234,-0.039436336,-0.168364149,"Pelham Parkway, Morris Park & Laconia"
3705,20000,660,350000,0.395271772,0.103551918,0.168408082,0.619189049,0.036658761,-0.515069218,21518.57506,690.1318681,1.00E+06,0.355538356,0.093471772,0.13950611,0.618287456,0.040096686,-0.162783055,25000,771.5748031,1.00E+06,0.364504297,0.099562725,0.17671752,0.595394034,0.045988404,-0.117590334,24239.70037,790,1.00E+06,0.354981457,0.098535948,0.218843137,0.595993464,0.032104575,-0.231177667,27186.01134,800.261194,1.00E+06,0.351753735,0.109592508,0.202200642,0.593520628,0.04313365,-0.155074528,22750.90253,802.4850299,1.00E+06,0.376278431,0.105199697,0.185283479,0.593210437,0.040927567,-0.178592346,24579.24528,885.1914894,1.00E+06,0.357951282,0.118861293,0.187747277,0.599738562,0.045780683,-0.152825593,4579.245283,225.1914894,650000,-0.03732049,0.015309374,0.019339194,-0.019450487,0.009121922,0.362243625,"Belmont, Crotona Park East & East Tremont"
3706,27000,850,350000,0.466422248,0.131941545,0.232853533,0.585781782,0.087711973,-0.177480296,30000,910,4361887.713,0.343241403,0.146590955,0.262662455,0.575190947,0.074147239,-0.160904065,30000,899.3717277,625000,0.397921374,0.141906054,0.263995397,0.571865368,0.071762627,-0.238467955,34100.56818,980,583232.6284,0.424611045,0.125213821,0.25934705,0.553744522,0.102023362,-0.255695743,32214.83871,990,537623.3184,0.371355576,0.115326753,0.229187455,0.57116102,0.070178536,-0.398157444,33668.15642,1030,1.00E+06,0.345645111,0.112223998,0.245636581,0.550212448,0.07300343,-0.076449746,30306.51341,1068.103704,658987.3418,0.350959911,0.151970268,0.275964769,0.563469436,0.113464345,-0.356193946,3306.51341,218.1037037,308987.3418,-0.115462337,0.020028723,0.043111237,-0.022312346,0.025752372,-0.17871365,"Bedford Park, Fordham North & Norwood"
3707,16696.26556,780,417632.8502,0.37933066,0.105797936,0.155097656,0.610997276,0.02195618,-0.489881484,21636.20513,820,1.00E+06,0.344021655,0.101800927,0.165513376,0.594694366,0.007681961,-0.149528855,25200,860,1.00E+06,0.353078145,0.102764963,0.200692015,0.567684305,0.013329411,-0.143220965,29000.67797,900,1.00E+06,0.381995192,0.118302013,0.21818456,0.627698241,0.012007174,-0.022748103,33795.65217,920,1.00E+06,0.331740048,0.104066884,0.204693919,0.580364689,0.01208861,-0.158591234,28371.81818,1000,1.00E+06,0.376613649,0.101908098,0.201155796,0.593446548,0.01619149,-0.055078189,27840.31008,980.791019,1.00E+06,0.323144657,0.085360031,0.197957387,0.550819134,0.016166333,-0.300552387,11144.04452,200.791019,582367.1498,-0.056186003,-0.020437905,0.042859732,-0.060178142,-0.005789846,0.189329097,"Morris Heights, Fordham South & Mount Hope"
3708,20000,750,162500,0.328665084,0.11366355,0.172750615,0.571144483,0.004586772,-0.831943084,26212.39544,780,1.00E+06,0.338542202,0.111734617,0.206529261,0.544674289,0.010275312,-0.199863872,21941.80602,855.4,1.00E+06,0.386650211,0.101047893,0.164752935,0.594009375,0.010980662,-0.073832308,25929.16129,890,1.00E+06,0.406700679,0.095106773,0.241058924,0.580249498,0.019520929,-0.072428769,31997.55501,890,1.00E+06,0.354058652,0.099783856,0.232106086,0.570144436,0.019423714,-0.125915622,27192.41379,960,6.00E+05,0.333432931,0.118754906,0.218321444,0.540175433,0.004041094,-0.638589509,23646.12326,950,1.00E+06,0.334162757,0.106391837,0.199058654,0.546276956,0.013118155,-0.303129171,3646.12326,200,837500,0.005497674,-0.007271713,0.026308039,-0.024867527,0.008531384,0.528813913,"Concourse, Highbridge & Mount Eden"
3709,32889.23077,793.4196891,350000,0.369100938,0.156640049,0.259030077,0.529161682,0.062457917,-0.443332245,35400,850,350000,0.366096525,0.132563451,0.238565425,0.538741726,0.026311996,-0.400219092,33000,844.5762712,450000,0.370110829,0.122884182,0.231876221,0.504563617,0.038840318,-0.50583312,40000,900,4.00E+05,0.312457392,0.148520894,0.255215967,0.506279867,0.035957346,-0.625049202,32344.52055,920,4.00E+05,0.380113142,0.123597842,0.278385152,0.514007901,0.03018265,-0.491574148,39720.76677,970,4.00E+05,0.429411011,0.129245716,0.273807702,0.530643469,0.025731116,-0.337590568,39000,1050,4.00E+05,0.356760194,0.12146871,0.270848821,0.516891153,0.023286833,-0.493274052,6110.769231,256.5803109,50000,-0.012340744,-0.035171339,0.011818744,-0.012270528,-0.039171085,-0.049941806,"Castle Hill, Clason Point & Parkchester"
3710,14300,540,450000,0.383324626,0.079168426,0.110206874,0.597097061,0.017462767,-0.696107661,40000,630,1.00E+06,0.236076053,0.086651528,0.167090933,0.579484806,0.014926453,-0.422560016,39263.24786,650,1.00E+06,0.268759546,0.090819879,0.158425886,0.579756656,0.018015449,-0.369990267,30000,658.2758621,1.00E+06,0.294902129,0.070248015,0.154370966,0.615632121,0.023363473,-0.46197718,30000,700,1.00E+06,0.27923331,0.080823214,0.158275509,0.591330232,0.027558745,-0.438997772,36834.86239,748.5185185,1.00E+06,0.278232922,0.102715655,0.189412141,0.587412141,0.020070288,-0.318530516,27659.45946,700,1.00E+06,0.294956978,0.07798102,0.168259298,0.598414145,0.018586897,-0.407357231,13359.45946,160,550000,-0.088367648,-0.001187406,0.058052424,0.001317085,0.00112413,0.28875043,"Hunts Point, Longwood & Melrose"
