Payroll,Revenue,
512303164,69316766,"{Payroll:512303164,Revenue:69316766},"
969249516,58755349,"{Payroll:969249516,Revenue:58755349},"
666652186,48408666,"{Payroll:666652186,Revenue:48408666},"
702603073,42529752,"{Payroll:702603073,Revenue:42529752},"
509708550,38470289,"{Payroll:509708550,Revenue:38470289},"
388669344,33602848,"{Payroll:388669344,Revenue:33602848},"
313629976,33135414,"{Payroll:313629976,Revenue:33135414},"
148808078,30401620,"{Payroll:148808078,Revenue:30401620},"
281037755,28413716,"{Payroll:281037755,Revenue:28413716},"
231396178,28057815,"{Payroll:231396178,Revenue:28057815},"
146298759,27831157,"{Payroll:146298759,Revenue:27831157},"
238892383,27611367,"{Payroll:238892383,Revenue:27611367},"
90830372,25147755,"{Payroll:90830372,Revenue:25147755},"
242763842,23041338,"{Payroll:242763842,Revenue:23041338},"
148879931,22073336,"{Payroll:148879931,Revenue:22073336},"
177728926,21879290,"{Payroll:177728926,Revenue:21879290},"
68589268,19012568,"{Payroll:68589268,Revenue:19012568},"
378996498,18627676,"{Payroll:378996498,Revenue:18627676},"
65761059,18595307,"{Payroll:65761059,Revenue:18595307},"
202344646,18191214,"{Payroll:202344646,Revenue:18191214},"
87292113,18169254,"{Payroll:87292113,Revenue:18169254},"
58917511,16743874,"{Payroll:58917511,Revenue:16743874},"
58917511,16743874,"{Payroll:58917511,Revenue:16743874},"
123076309,15822617,"{Payroll:123076309,Revenue:15822617},"
155836792,15316595,"{Payroll:155836792,Revenue:15316595},"
72036743,15005322,"{Payroll:72036743,Revenue:15005322},"
117069744,14888388,"{Payroll:117069744,Revenue:14888388},"
277982842,14805818,"{Payroll:277982842,Revenue:14805818},"
55133909,14575778,"{Payroll:55133909,Revenue:14575778},"
131530601,14461753,"{Payroll:131530601,Revenue:14461753},"
81927799,14395301,"{Payroll:81927799,Revenue:14395301},"
96924106,14269957,"{Payroll:96924106,Revenue:14269957},"
139960482,14180536,"{Payroll:139960482,Revenue:14180536},"
108854971,14094832,"{Payroll:108854971,Revenue:14094832},"
78740158,13467465,"{Payroll:78740158,Revenue:13467465},"
109562339,13147551,"{Payroll:109562339,Revenue:13147551},"
33740692,12932134,"{Payroll:33740692,Revenue:12932134},"
33740692,12932134,"{Payroll:33740692,Revenue:12932134},"
84713257,12881674,"{Payroll:84713257,Revenue:12881674},"
84713257,12881674,"{Payroll:84713257,Revenue:12881674},"
32686803,12536975,"{Payroll:32686803,Revenue:12536975},"
32686803,12536975,"{Payroll:32686803,Revenue:12536975},"
111535362,11920848,"{Payroll:111535362,Revenue:11920848},"
55119504,11763155,"{Payroll:55119504,Revenue:11763155},"
66489102,11621404,"{Payroll:66489102,Revenue:11621404},"
41549128,11611820,"{Payroll:41549128,Revenue:11611820},"
96389872,11586100,"{Payroll:96389872,Revenue:11586100},"
54281114,11446495,"{Payroll:54281114,Revenue:11446495},"
124809759,11099489,"{Payroll:124809759,Revenue:11099489},"
55160095,10546181,"{Payroll:55160095,Revenue:10546181},"
54774705,10210605,"{Payroll:54774705,Revenue:10210605},"
129284438,10140093,"{Payroll:129284438,Revenue:10140093},"
103728867,10082914,"{Payroll:103728867,Revenue:10082914},"
99160840,10082122,"{Payroll:99160840,Revenue:10082122},"
116668830,10021180,"{Payroll:116668830,Revenue:10021180},"
43155806,9556629,"{Payroll:43155806,Revenue:9556629},"
28512017,9423933,"{Payroll:28512017,Revenue:9423933},"
222052862,8689299,"{Payroll:222052862,Revenue:8689299},"
41925418,8679926,"{Payroll:41925418,Revenue:8679926},"
42772498,8582077,"{Payroll:42772498,Revenue:8582077},"
27481505,8555606,"{Payroll:27481505,Revenue:8555606},"
271191050,8489308,"{Payroll:271191050,Revenue:8489308},"
16133054,8456411,"{Payroll:16133054,Revenue:8456411},"
93529400,8257079,"{Payroll:93529400,Revenue:8257079},"
51243473,8193179,"{Payroll:51243473,Revenue:8193179},"
14686192,8127862,"{Payroll:14686192,Revenue:8127862},"
42370986,8066771,"{Payroll:42370986,Revenue:8066771},"
39871663,8053260,"{Payroll:39871663,Revenue:8053260},"
104074154,7982098,"{Payroll:104074154,Revenue:7982098},"
86076260,7578276,"{Payroll:86076260,Revenue:7578276},"
26413731,7572530,"{Payroll:26413731,Revenue:7572530},"
30809887,7475434,"{Payroll:30809887,Revenue:7475434},"
30809887,7475434,"{Payroll:30809887,Revenue:7475434},"
29322165,7456578,"{Payroll:29322165,Revenue:7456578},"
29224496,7440433,"{Payroll:29224496,Revenue:7440433},"
37372340,7421303,"{Payroll:37372340,Revenue:7421303},"
63725510,7384965,"{Payroll:63725510,Revenue:7384965},"
84716542,7367834,"{Payroll:84716542,Revenue:7367834},"
26211500,7316613,"{Payroll:26211500,Revenue:7316613},"
33759650,7086151,"{Payroll:33759650,Revenue:7086151},"
59900622,7052224,"{Payroll:59900622,Revenue:7052224},"
28002473,7044117,"{Payroll:28002473,Revenue:7044117},"
25320563,6968417,"{Payroll:25320563,Revenue:6968417},"
34226599,6856813,"{Payroll:34226599,Revenue:6856813},"
21043573,6689813,"{Payroll:21043573,Revenue:6689813},"
35964280,6682933,"{Payroll:35964280,Revenue:6682933},"
20993894,6679820,"{Payroll:20993894,Revenue:6679820},"
25069313,6552448,"{Payroll:25069313,Revenue:6552448},"
13486148,6543604,"{Payroll:13486148,Revenue:6543604},"
67815200,6508583,"{Payroll:67815200,Revenue:6508583},"
74295394,6416034,"{Payroll:74295394,Revenue:6416034},"
24453789,6403963,"{Payroll:24453789,Revenue:6403963},"
36690913,6376073,"{Payroll:36690913,Revenue:6376073},"
32535400,6370248,"{Payroll:32535400,Revenue:6370248},"
26762776,6340818,"{Payroll:26762776,Revenue:6340818},"
32767405,6325703,"{Payroll:32767405,Revenue:6325703},"
19822651,6322639,"{Payroll:19822651,Revenue:6322639},"
19822651,6322639,"{Payroll:19822651,Revenue:6322639},"
12318068,6293822,"{Payroll:12318068,Revenue:6293822},"
62712925,6290843,"{Payroll:62712925,Revenue:6290843},"
73580066,6285520,"{Payroll:73580066,Revenue:6285520},"
50447098,6230104,"{Payroll:50447098,Revenue:6230104},"
27325206,6177713,"{Payroll:27325206,Revenue:6177713},"
118605118,6155428,"{Payroll:118605118,Revenue:6155428},"
71211444,6109991,"{Payroll:71211444,Revenue:6109991},"
32923135,6061043,"{Payroll:32923135,Revenue:6061043},"
26514115,5973063,"{Payroll:26514115,Revenue:5973063},"
26514115,5973063,"{Payroll:26514115,Revenue:5973063},"
66441608,5919147,"{Payroll:66441608,Revenue:5919147},"
39532989,5908935,"{Payroll:39532989,Revenue:5908935},"
24414445,5878487,"{Payroll:24414445,Revenue:5878487},"
60936327,5872932,"{Payroll:60936327,Revenue:5872932},"
29761780,5867523,"{Payroll:29761780,Revenue:5867523},"
61639537,5850344,"{Payroll:61639537,Revenue:5850344},"
50046429,5762622,"{Payroll:50046429,Revenue:5762622},"
108891009,5561717,"{Payroll:108891009,Revenue:5561717},"
26211145,5559837,"{Payroll:26211145,Revenue:5559837},"
46106577,5538725,"{Payroll:46106577,Revenue:5538725},"
19811104,5445238,"{Payroll:19811104,Revenue:5445238},"
19811104,5445238,"{Payroll:19811104,Revenue:5445238},"
20889022,5425492,"{Payroll:20889022,Revenue:5425492},"
55391092,5425096,"{Payroll:55391092,Revenue:5425096},"
162845722,5398889,"{Payroll:162845722,Revenue:5398889},"
25678276,5306079,"{Payroll:25678276,Revenue:5306079},"
66650916,5203194,"{Payroll:66650916,Revenue:5203194},"
66650916,5203194,"{Payroll:66650916,Revenue:5203194},"
96619179,5159180,"{Payroll:96619179,Revenue:5159180},"
26511415,5073340,"{Payroll:26511415,Revenue:5073340},"
25625299,5063256,"{Payroll:25625299,Revenue:5063256},"
45334502,5049783,"{Payroll:45334502,Revenue:5049783},"
17839472,5035282,"{Payroll:17839472,Revenue:5035282},"
28764677,4972456,"{Payroll:28764677,Revenue:4972456},"
