DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/03/2015,19:15,MANHATTAN,10003,40.7298617,-73.9914344,"(40.7298617, -73.9914344)",ASTOR PLACE,LAFAYETTE STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3163564,TAXI,PASSENGER VEHICLE,,,
02/03/2015,19:15,BROOKLYN,11230,40.6114903,-73.9723968,"(40.6114903, -73.9723968)",AVENUE O,EAST 2 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3163801,PASSENGER VEHICLE,UNKNOWN,,,
02/03/2015,19:12,MANHATTAN,10017,40.7521198,-73.9776766,"(40.7521198, -73.9776766)",PARK AVENUE,EAST 42 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3163580,OTHER,PASSENGER VEHICLE,,,
02/03/2015,19:10,BROOKLYN,11221,40.6891029,-73.9450575,"(40.6891029, -73.9450575)",GREENE AVENUE,TOMPKINS AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,Unspecified,,,3163209,SPORT UTILITY / STATION WAGON,TAXI,PASSENGER VEHICLE,,
02/03/2015,19:10,BRONX,10468,40.870234,-73.9006048,"(40.870234, -73.9006048)",CLAFLIN AVENUE,WEST 195 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3163744,PASSENGER VEHICLE,UNKNOWN,,,
02/03/2015,19:00,MANHATTAN,10026,40.8020241,-73.9496815,"(40.8020241, -73.9496815)",WEST 116 STREET,LENOX AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3164319,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
02/03/2015,19:00,BRONX,10467,40.8773934,-73.8664909,"(40.8773934, -73.8664909)",WHITE PLAINS ROAD,EAST GUNHILL ROAD,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,,,,3163716,UNKNOWN,AMBULANCE,,,
02/03/2015,19:00,QUEENS,11355,40.7518342,-73.8242651,"(40.7518342, -73.8242651)",COLDEN STREET,ELDER AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3164106,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/03/2015,19:00,BROOKLYN,11249,40.700791,-73.9604981,"(40.700791, -73.9604981)",WYTHE AVENUE,PENN STREET,,0,0,0,0,0,0,0,0,,,,,,3163968,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES),,,
02/03/2015,19:00,BROOKLYN,11225,40.659017,-73.9567239,"(40.659017, -73.9567239)",RUTLAND ROAD,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3163856,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/03/2015,19:00,BROOKLYN,11225,40.6673324,-73.9535212,"(40.6673324, -73.9535212)",CARROLL STREET,ROGERS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3163854,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/03/2015,19:00,BRONX,10475,40.8640144,-73.822678,"(40.8640144, -73.822678)",ERDMAN PLACE,EINSTEIN LOOP,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3162930,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/03/2015,19:00,BRONX,10466,40.8946624,-73.8613598,"(40.8946624, -73.8613598)",EAST 233 STREET,BRONX BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3163712,UNKNOWN,PASSENGER VEHICLE,,,
02/03/2015,18:50,QUEENS,11370,40.7583536,-73.8944008,"(40.7583536, -73.8944008)",31 AVENUE,73 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3163494,PASSENGER VEHICLE,,,,
