"","state","num_nurses_fulltime","num_doctors_fulltime","pop_2006","area_sq_km","per_capita_nurses","per_area_nurses","per_capita_doctors","per_area_doctors"
"1","Lagos",3104,2652,558794116,157564.052259096,5.55481869104005e-06,0.0196999249225694,4.74593401051489e-06,0.0168312502882262
"2","Ogun",2138,1053,281937084,794019.36281615,7.58325215564761e-06,0.00269262955051518,3.73487582782831e-06,0.00132616413315832
"3","Oyo",1567,994,228256111,866028.96918917,6.86509549792514e-06,0.001809408294352,4.35475745050261e-06,0.00114776760981869
"4","Anambra",1718,705,194392945,174217.27522084,8.83776929250184e-06,0.00986124939574587,3.62667482608487e-06,0.00404667102677581
"5","Imo",2120,917,150709945,198678.08797593,1.40667558468023e-05,0.0106705274929807,6.08453542996117e-06,0.00461550646748269
"6","Rivers",1090,670,146739642,248559.6045846,7.42812225206328e-06,0.00438526606856186,4.56591000814899e-06,0.00269553051920775
"7","Cross River",387,253,144852399,1091076.802114,2.6716851268718e-06,0.000354695470795616,1.74660552221852e-06,0.000231881018375428
"8","Enugu",1117,520,143164924,282466.2490597,7.80219043038782e-06,0.00395445474890672,3.63217459606237e-06,0.001840927904594
"9","Edo",965,512,132872227,569225.70893455,7.26261628775139e-06,0.0016952853408646,3.85332594749089e-06,0.00089946745546391
"10","Ondo",583,283,132585279,579629.3233268,4.39716991507028e-06,0.00100581522800443,2.13447527609758e-06,0.000488243069511585
"11","Osun",982,470,132369063,354760.96463183,7.41865189451405e-06,0.00276806102672293,3.55067860531732e-06,0.00132483572562095
"12","Delta",1157,638,132230401,499239.18200436,8.74987893290893e-06,0.00231752643162911,4.82491163284002e-06,0.00127794456644717
"13","Abia",774,247,109546073,179928.03752414,7.06552027656893e-06,0.00430171979114793,2.25475905466735e-06,0.00137277104446194
"14","Ebonyi",468,217,95982233,294450.2556854,4.87590239747808e-06,0.00158940259335358,2.26083508601014e-06,0.000736966587089161
"15","Ekiti",608,259,77503299,171060.21785209,7.84482735373626e-06,0.00355430390323551,3.3417932312791e-06,0.00151408669562171
"16","Akwa Ibom",612,251,68840793,109660.28596222,8.89007771888973e-06,0.0055808718227385,3.64609396640739e-06,0.00228888697305125
"17","Bayelsa",217,127,55916916,299053.3280247,3.88075765838016e-06,0.000725623090146909,2.27122683232387e-06,0.000424673421422384
