"lga_id","unique_lga","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","longitude","latitude","senatorial_district","TA_names"
1,"borno_abadam",100180,"Abadam","Borno","Northeast",3967.05423,"Others",25.25299484,13.32567407,13.42829323,"North","Mukhtar Abubakar"
2,"fct_abaji",58444,"Abaji","FCT","North-Central",992.3612415,"113",58.8938761,6.853413749,8.877565612,"","Ipah Iloye A."
3,"akwa_ibom_abak",139090,"Abak","Akwa Ibom","South-South",189.9845631,"Others",732.1121134,7.772279199,5.019886845,"Ikot Ekpene","Jesse Akpan"
4,"ebonyi_abakaliki",151723,"Abakaliki","Ebonyi","Southeast",584.0551672,"Others",259.775118,8.219881874,6.258681099,"Ebonyi North","Obasi Arisi Ikenna"
5,"abia_aba_north",107488,"Aba North","Abia","Southeast",22.77506109,"Others",4719.548263,7.37164362,5.106900368,"Abia South","Anichukwueze Anthony Nkemdirim"
6,"abia_aba_south",423852,"Aba South","Abia","Southeast",49.16654183,"Others",8620.740533,7.350650086,5.081345688,"Abia South","Ujah Chukwudu Francis"
7,"ogun_abeokuta_north",201329,"Abeokuta North","Ogun","Southwest",808.8314933,"Others",248.9134037,3.173587704,7.223004856,"Ogun Central","Sunmola Temitope Adedoja"
8,"ogun_abeokuta_south",250278,"Abeokuta South","Ogun","Southwest",71.47153479,"Others",3501.785721,3.356943578,7.153118071,"Ogun Central","Sunmola Temitope Adedoja"
9,"cross_river_abi",144802,"Abi","Cross River","South-South",281.7728248,"Others",513.896257,8.026689098,5.893088471,"Cross-River Central","Oloko Thomas"
10,"imo_aboh_mbaise",195652,"Aboh Mbaise","Imo","Southeast",184.4838696,"Others",1060.537165,7.252247584,5.432616234,"Owerri","Nwabugwu E. Nkemjika"
11,"rivers_abua_odual",282988,"Abua Odual","Rivers","South-South",704.3381151,"Others",401.7786258,6.562096308,4.838539564,"Rivers West","Bamson Roland"
12,"kogi_adavi",202194,"Adavi","Kogi","North-Central",718.5035981,"Others",281.4098642,6.444590434,7.674232573,"Central","Yahaya Jibril"
13,"ekiti_ado_ekiti",308621,"Ado-Ekiti","Ekiti","Southwest",293.6513001,"Others",1050.977809,5.279974569,7.610426271,"Ekiti Central","Olatunbosun Taiwo Franklin"
14,"ogun_ado_odo_ota",526565,"Ado-Odo/Ota","Ogun","Southwest",878.9164562,"148",599.1069985,3.084625141,6.618841023,"Ogun West","Orebiyi Emmanuel Olabisi"
15,"oyo_afijio",134173,"Afijio","Oyo","Southwest",722.6936659,"Others",185.6568091,3.901255094,7.742118265,"Oyo Central","Mustapha Monsur Adebayo"
16,"ebonyi_afikpo_north",156611,"Afikpo North","Ebonyi","Southeast",240.1574665,"Others",652.1179719,7.923396498,5.878428508,"Ebonyi South","Isu Azubuike"
17,"ebonyi_afikpo_south",157072,"Afikpo South","Ebonyi","Southeast",377.6751961,"113",415.8917547,7.81363734,5.837191472,"Ebonyi South","Isu Azubuike"
18,"niger_agaie",132907,"Agaie","Niger","North-Central",1904.354705,"Others",69.79109493,6.44045921,8.946235352,"Zone A","Abdullahi baba Mohammed"
19,"benue_agatu",115523,"Agatu","Benue","North-Central",1014.608427,"Others",113.859689,7.882158375,7.869838452,"Zone C","Iorwuese S. Yaasah"
20,"niger_agwara",57413,"Agwara","Niger","North-Central",1539.668996,"148",37.28918368,4.527640872,10.74102177,"Zone C","Is'haq Abubakar"
21,"lagos_agege",459939,"Agege","Lagos","Southwest",11.21455704,"Others",41012.6765,3.316002672,6.623579864,"Lagos West","Toviho John Rotimi"
22,"anambra_aguata",370172,"Aguata","Anambra","Southeast",195.1025738,"Others",1897.319921,7.088043302,5.988620938,"Anambra Central","Okpalaosimiri Azubuike Nnamdi"
23,"imo_ahiazu_mbaise",170902,"Ahiazu-Mbaise","Imo","Southeast",113.7162833,"Others",1502.880635,7.264181993,5.560200007,"Owerri","Nwabugwu E. Nkemjika"
24,"rivers_ahoada_east",166747,"Ahoada East","Rivers","South-South",341.173834,"Others",488.7449839,6.641019796,5.065359189,"Rivers West","Iwarri Otonye Paul"
25,"rivers_ahoada_west",249425,"Ahoada West","Rivers","South-South",403.4593903,"Others",618.215875,6.516605685,5.051763077,"Rivers West","Bamson Roland"
26,"kogi_ajaokuta",122321,"Ajaokuta","Kogi","North-Central",1362.399481,"113",89.78350455,6.596390202,7.514741214,"Central","Yahaya Jibril"
27,"lagos_ajeromi_ifelodun",684105,"Ajeromi-Ifelodun","Lagos","Southwest",12.34939094,"148",55395.84934,3.337481502,6.453561926,"Lagos West","Toviho John Rotimi"
28,"kano_ajingi",174137,"Ajingi","Kano","Northwest",713.7992546,"Others",243.957946,9.06909277,11.9731313,"Southern","Mohammed Abdu Danladi"
29,"cross_river_akamkpa",151125,"Akamkpa","Cross River","South-South",5001.719905,"Others",30.21460675,8.533980008,5.409456428,"Cross-River South","Akima Edet"
30,"oyo_akinyele",211359,"Akinyele","Oyo","Southwest",518.8703114,"Others",407.3445625,3.93139439,7.562432287,"Oyo Central","Mustapha Monsur Adebayo"
31,"gombe_akko",337853,"Akko","Gombe","Northeast",2624.324378,"113",128.7390396,11.04556257,10.10836341,"Central","Muhammad Yelwa Daudu"
32,"edo_akoko_edo",262110,"Akoko-Edo","Edo","South-South",1371.71971,"148",191.0813106,6.134195598,7.362892731,"Edo North","Godwin Ebhodaghe"
33,"ondo_akoko_north_east",175409,"Akoko North East","Ondo","Southwest",372.5399552,"113",470.8461403,5.818426675,7.538636087,"Ondo North","Olamilosoye Kehinde Peace"
34,"ondo_akoko_north_west",213792,"Akoko North West","Ondo","Southwest",512.7781109,"Pilot",416.9288732,5.794530243,7.642692615,"Ondo North","Olamilosoye Kehinde Peace"
35,"ondo_akoko_south_west",229486,"Akoko South West","Ondo","Southwest",530.374779,"Others",432.6864872,5.687567779,7.398350082,"Ondo North","Olamilosoye Kehinde Peace"
36,"ondo_akoko_south_east",82426,"Akoko South East","Ondo","Southwest",225.6997583,"Others",365.2019861,5.908767586,7.429703013,"Ondo North","Olamilosoye Kehinde Peace"
37,"cross_river_akpabuyo",271395,"Akpabuyo","Cross River","South-South",807.2272151,"Others",336.2064545,8.491954405,4.889985129,"Cross-River South","Akima Edet"
