"num_primary_schools","num_junior_secondary_schools","num_combined_schools","num_informal_schools","num_schools","percent_management_public","num_primary_schools.1","percent_management_public_primary","percent_natl_curriculum_primary","avg_num_students_primary","avg_num_tchrs_primary","avg_num_classrms_primary","avg_num_toilets_primary","num_junior_secondary_schools.1","percent_management_public_js","percent_natl_curriculum_js","avg_num_students_js","avg_num_tchrs_js","avg_num_classrms_js","avg_num_toilets_js","num_primary_schools.2","percent_classrm_repairs_primary","percent_improved_water_primary","percent_improved_functional_water_primary","percent_improved_sanitation_primary","percent_phcn_electricity_primary","pupil_toilet_ratio_primary","proportion_schools_chalkboard_all_rooms_primary","num_junior_secondary_schools.2","percent_classrm_repairs_js","percent_improved_water_js","percent_improved_functional_water_js","percent_improved_sanitation_js","percent_phcn_electricity_js","pupil_toilet_ratio_js","proportion_schools_chalkboard_all_rooms_juniorsec","student_classroom_ratio_lga_primary","pupil_teachers_ratio_lga_primary","student_classroom_ratio_lga_js","pupil_teachers_ratio_lga_js","proportion_teachers_nce_primary","proportion_teachers_nce_js","num_primary_schools.3","num_junior_secondary_schools.3","num_combined_schools.1","num_informal_schools.1","num_schools.1","student_teacher_ratio_lga","proportion_teachers_nce_primary.1","lga","unique_lga","state","latitude","longitude"
43,1,62,21,127,"36% (45/126)",43,"30% (13/43)","100% (43/43)",429,18,12,4,1,"NA","100% (1/1)",583,54,27,55,43,"27% (135/508)","74% (32/43)","72% (31/43)","84% (36/43)","53% (23/43)","99 : 1","50% (21/42)",1,"7% (2/27)","100% (1/1)","100% (1/1)","100% (1/1)","100% (1/1)","11 : 1","100% (1/1)","34 : 1","23 : 1","22 : 1","11 : 1","74% (558/753)","0% (0/54)",43,1,62,21,127,"17 : 1","74% (558/753)","Aba North","abia_aba_north","Abia",5.10690036805349,7.37164362013536
43,0,22,24,89,"71% (62/87)",43,"81% (34/42)","100% (43/43)",482,14,13,3,0,NA,NA,NA,NA,NA,NA,43,"40% (231/578)","33% (14/43)","26% (11/43)","58% (25/43)","44% (19/43)","168 : 1","14% (6/43)",0,NA,NA,NA,NA,NA,NA,NA,"36 : 1","35 : 1",NA,NA,"74% (431/585)",NA,43,0,22,24,89,"25 : 1","74% (431/585)","Aba South","abia_aba_south","Abia",5.08134568759407,7.35065008552622
41,0,13,21,75,"96% (72/75)",41,"98% (40/41)","100% (41/41)",541,10,10,1,0,NA,NA,NA,NA,NA,NA,41,"39% (151/391)","17% (7/41)","10% (4/41)","39% (16/41)","12% (5/41)","380 : 1","10% (4/40)",0,NA,NA,NA,NA,NA,NA,NA,"57 : 1","53 : 1",NA,NA,"88% (351/397)",NA,41,0,13,21,75,"49 : 1","88% (351/397)","Arochukwu","abia_arochukwu","Abia",5.51572904185091,7.80788493310128
58,2,27,46,133,"80% (106/132)",58,"74% (43/58)","100% (58/58)",208,9,8,1,2,"100% (2/2)","100% (2/2)",43,2,4,2,58,"40% (193/480)","31% (18/58)","26% (15/58)","50% (29/58)","26% (15/58)","153 : 1","24% (14/58)",2,"62% (5/8)","0% (0/2)","0% (0/2)","100% (2/2)","50% (1/2)","22 : 1","0% (0/2)","25 : 1","23 : 1","11 : 1","17 : 1","72% (372/515)","40% (2/5)",58,2,27,46,133,"26 : 1","72% (372/515)","Bende","abia_bende","Abia",5.66423959154558,7.61095109315411
39,9,6,28,82,"80% (64/80)",39,"87% (33/38)","100% (39/39)",129,9,9,1,9,"89% (8/9)","100% (9/9)",140,11,9,2,39,"41% (142/350)","38% (15/39)","28% (11/39)","54% (21/39)","5% (2/39)","109 : 1","79% (31/39)",9,"26% (20/78)","33% (3/9)","33% (3/9)","78% (7/9)","11% (1/9)","47 : 1","89% (8/9)","14 : 1","14 : 1","21 : 1","13 : 1","79% (278/353)","32% (32/100)",39,9,6,28,82,"14 : 1","79% (278/353)","Ikwuano","abia_ikwuano","Abia",5.40600929101,7.58497269176857
57,0,13,8,78,"95% (74/78)",57,"98% (56/57)","100% (57/57)",309,10,11,2,0,NA,NA,NA,NA,NA,NA,57,"54% (332/611)","16% (9/57)","11% (6/57)","58% (33/57)","21% (12/57)","192 : 1","31% (17/54)",0,NA,NA,NA,NA,NA,NA,NA,"28 : 1","31 : 1",NA,NA,"84% (474/561)",NA,57,0,13,8,78,"32 : 1","84% (474/561)","Isiala Ngwa North","abia_isiala_ngwa_north","Abia",5.29057291974854,7.40140790305037
28,1,20,60,109,"72% (78/109)",28,"57% (16/28)","100% (28/28)",232,10,9,2,1,"0% (0/1)","100% (1/1)",238,8,3,4,28,"50% (129/260)","32% (9/28)","21% (6/28)","64% (18/28)","29% (8/28)","151 : 1","11% (3/28)",1,"100% (3/3)","0% (0/1)","0% (0/1)","100% (1/1)","0% (0/1)","60 : 1","0% (0/1)","25 : 1","23 : 1","79 : 1","30 : 1","85% (244/288)","100% (8/8)",28,1,20,60,109,"20 : 1","85% (244/288)","Isiala Ngwa South","abia_isiala_ngwa_south","Abia",5.39620723608674,7.42296419296289
27,3,21,35,86,"65% (55/85)",27,"44% (12/27)","100% (27/27)",278,12,9,4,3,"67% (2/3)","100% (3/3)",47,4,3,1,27,"29% (75/256)","30% (8/27)","30% (8/27)","81% (22/27)","33% (9/27)","67 : 1","41% (11/27)",3,"25% (2/8)","33% (1/3)","33% (1/3)","100% (3/3)","33% (1/3)","35 : 1","33% (1/3)","29 : 1","23 : 1","18 : 1","13 : 1","68% (213/314)","9% (1/11)",27,3,21,35,86,"20 : 1","68% (213/314)","Isuikwuato","abia_isuikwuato","Abia",5.80554718193891,7.4720383328484
43,7,36,19,105,"61% (64/105)",43,"65% (28/43)","100% (43/43)",249,16,12,2,7,"100% (7/7)","100% (7/7)",130,17,10,0,43,"59% (297/502)","51% (22/43)","35% (15/43)","53% (23/43)","21% (9/43)","156 : 1","33% (14/43)",7,"60% (41/68)","29% (2/7)","29% (2/7)","43% (3/7)","43% (3/7)","169 : 1","100% (7/7)","21 : 1","16 : 1","13 : 1","8 : 1","86% (583/674)","24% (25/104)",43,7,36,19,105,"15 : 1","86% (583/674)","Obi Ngwa","abia_obi_ngwa","Abia",5.14254096006632,7.46827359703116
67,12,38,7,124,"82% (102/124)",67,"87% (58/67)","100% (67/67)",252,16,12,2,12,"83% (10/12)","100% (12/12)",111,10,9,1,67,"30% (239/789)","13% (9/67)","12% (8/67)","61% (41/67)","12% (8/67)","177 : 1","46% (31/67)",12,"46% (50/109)","8% (1/12)","0% (0/12)","42% (5/12)","17% (2/12)","127 : 1","92% (11/12)","22 : 1","16 : 1","12 : 1","11 : 1","80% (851/1060)","55% (66/121)",67,12,38,7,124,"16 : 1","80% (851/1060)","Ohafia","abia_ohafia","Abia",5.66795540859031,7.80160005504767
