"num_level_1_health_facilities","num_level_2_health_facilities","num_level_3_health_facilities","num_level_4_health_facilities","num_health_facilities","num_doctors","num_nursemidwives_midwives","num_nurses","num_chews","proportion_measles","proportion_vaccines_fridge_freezer_sansHP","proportion_antenatal","proportion_family_planning","proportion_access_emergency_transport","proportion_delivery_sansHP","percent_csection","proportion_act_treatment_for_malaria","percent_improved_water","percent_improved_functional_water","percent_improved_sanitation","proportion_phcn_electricity","proportion_access_to_alternative_power","num_level_1_health_facilities.1","num_level_2_health_facilities.1","num_level_3_health_facilities.1","num_level_4_health_facilities.1","facilities_delivery_services_yn","facilities_emergency_transport","facilities_skilled_birth_attendant","facilities_measles","lga","unique_lga","state","latitude","longitude"
3,2,17,18,40,49,106,162,85,"62% (24/39)","64% (23/36)","78% (31/40)","80% (32/40)","62% (25/40)","78% (29/37)","67% (12/18)","95% (38/40)","82% (32/39)","79% (31/39)","88% (35/40)","85% (33/39)","64% (25/39)",3,2,17,18,29,25,37,24,"Aba North","abia_aba_north","Abia",5.10690036805349,7.37164362013536
10,2,20,23,55,75,352,153,204,"90% (45/50)","68% (27/40)","82% (45/55)","82% (45/55)","62% (34/55)","84% (38/45)","74% (17/23)","89% (49/55)","58% (29/50)","53% (26/49)","62% (34/55)","78% (39/50)","58% (29/50)",10,2,20,23,39,34,41,45,"Aba South","abia_aba_south","Abia",5.08134568759407,7.35065008552622
2,4,38,5,49,10,40,41,71,"86% (38/44)","23% (10/43)","92% (44/48)","73% (35/48)","10% (5/49)","87% (40/46)","40% (2/5)","75% (36/48)","29% (13/45)","23% (10/44)","45% (22/49)","69% (31/45)","27% (12/45)",2,4,38,5,41,5,14,38,"Arochukwu","abia_arochukwu","Abia",5.51572904185091,7.80788493310128
5,7,38,3,53,8,37,13,56,"86% (44/51)","17% (8/46)","94% (50/53)","70% (37/53)","19% (10/53)","96% (46/48)","67% (2/3)","64% (34/53)","22% (11/51)","18% (9/51)","70% (37/53)","49% (25/51)","39% (20/51)",5,7,38,3,51,10,22,44,"Bende","abia_bende","Abia",5.66423959154558,7.61095109315411
2,3,31,1,37,5,31,11,43,"76% (28/37)","17% (6/35)","84% (31/37)","70% (26/37)","22% (8/37)","63% (22/35)","0% (0/1)","92% (34/37)","43% (16/37)","35% (13/37)","84% (31/37)","38% (14/37)","41% (15/37)",2,3,31,1,23,8,18,28,"Ikwuano","abia_ikwuano","Abia",5.40600929101,7.58497269176857
13,4,27,3,47,5,33,35,116,"91% (43/47)","32% (11/34)","96% (45/47)","62% (29/47)","28% (13/47)","94% (32/34)","100% (3/3)","83% (39/47)","36% (17/47)","23% (11/47)","53% (25/47)","64% (30/47)","17% (8/47)",13,4,27,3,42,13,16,43,"Isiala Ngwa North","abia_isiala_ngwa_north","Abia",5.29057291974854,7.40140790305037
2,6,46,2,56,9,43,46,100,"63% (34/54)","27% (14/52)","88% (49/56)","71% (40/56)","12% (7/56)","83% (45/54)","100% (2/2)","73% (41/56)","59% (32/54)","33% (18/54)","73% (41/56)","61% (33/54)","26% (14/54)",2,6,46,2,46,7,20,34,"Isiala Ngwa South","abia_isiala_ngwa_south","Abia",5.39620723608674,7.42296419296289
1,10,28,5,44,13,37,20,76,"95% (40/42)","39% (16/41)","93% (41/44)","52% (23/44)","11% (5/44)","93% (40/43)","60% (3/5)","66% (29/44)","40% (17/42)","29% (12/42)","82% (36/44)","60% (25/42)","48% (20/42)",1,10,28,5,41,5,19,40,"Isuikwuato","abia_isuikwuato","Abia",5.80554718193891,7.4720383328484
13,4,29,2,48,4,32,32,141,"98% (47/48)","40% (14/35)","98% (47/48)","88% (42/48)","50% (24/48)","49% (17/35)","100% (2/2)","98% (47/48)","56% (27/48)","44% (21/48)","60% (29/48)","50% (24/48)","35% (17/48)",13,4,29,2,18,24,20,47,"Obi Ngwa","abia_obi_ngwa","Abia",5.14254096006632,7.46827359703116
6,4,25,9,44,21,57,29,41,"77% (34/44)","42% (16/38)","93% (41/44)","77% (34/44)","32% (14/44)","71% (27/38)","67% (6/9)","80% (35/44)","32% (14/44)","30% (13/44)","80% (35/44)","41% (18/44)","55% (24/44)",6,4,25,9,27,14,22,34,"Ohafia","abia_ohafia","Abia",5.66795540859031,7.80160005504767
