"num_improved_water_points","num_overhead_tanks","num_taps","num_handpumps","num_unimproved_points","num_total_water_points","percentage_functional_improved","percentage_functional_taps","percentage_functional_handpumps","num_diesel","percentage_diesel_functional","num_electric","percentage_electric_functional","num_solar","percentage_solar_functional","num_improved_water_points.1","num_overhead_tanks.1","num_taps.1","num_handpumps.1","percentage_functional_improved.1","lga","unique_lga","state","latitude","longitude"
39,0,37,2,0,39,"61% (23/38)","64% (23/36)","0% (0/2)",2,"0% (0/2)",0,"NA",0,"NA",39,0,37,2,"61% (23/38)","Aba North","abia_aba_north","Abia",5.10690036805349,7.37164362013536
13,0,12,1,2,15,"62% (8/13)","58% (7/12)","100% (1/1)",0,"NA",0,"NA",0,"NA",13,0,12,1,"62% (8/13)","Aba South","abia_aba_south","Abia",5.08134568759407,7.35065008552622
23,17,3,3,0,23,"64% (14/22)","100% (3/3)","50% (1/2)",3,"33% (1/3)",0,"NA",0,"NA",23,17,3,3,"64% (14/22)","Arochukwu","abia_arochukwu","Abia",5.51572904185091,7.80788493310128
93,0,80,13,8,101,"59% (55/93)","68% (54/80)","8% (1/13)",4,"25% (1/4)",1,"100% (1/1)",0,"NA",93,0,80,13,"59% (55/93)","Bende","abia_bende","Abia",5.66423959154558,7.61095109315411
120,0,120,0,3,123,"57% (68/119)","57% (68/119)","NA",106,"55% (58/105)",13,"77% (10/13)",1,"0% (0/1)",120,0,120,0,"57% (68/119)","Ikwuano","abia_ikwuano","Abia",5.40600929101,7.58497269176857
49,0,47,2,3,52,"35% (17/48)","37% (17/46)","0% (0/2)",0,"NA",0,"NA",0,"NA",49,0,47,2,"35% (17/48)","Isiala Ngwa North","abia_isiala_ngwa_north","Abia",5.29057291974854,7.40140790305037
86,64,19,3,1,87,"43% (37/86)","63% (12/19)","0% (0/3)",0,"NA",4,"50% (2/4)",0,"NA",86,64,19,3,"43% (37/86)","Isiala Ngwa South","abia_isiala_ngwa_south","Abia",5.39620723608674,7.42296419296289
76,0,55,21,10,86,"55% (41/75)","57% (31/54)","48% (10/21)",16,"62% (10/16)",3,"67% (2/3)",0,"NA",76,0,55,21,"55% (41/75)","Isuikwuato","abia_isuikwuato","Abia",5.80554718193891,7.4720383328484
93,0,86,7,6,99,"52% (48/93)","52% (45/86)","43% (3/7)",61,"49% (30/61)",23,"61% (14/23)",2,"50% (1/2)",93,0,86,7,"52% (48/93)","Obi Ngwa","abia_obi_ngwa","Abia",5.14254096006632,7.46827359703116
45,0,43,2,2,47,"49% (22/45)","49% (21/43)","50% (1/2)",40,"52% (21/40)",2,"0% (0/2)",1,"0% (0/1)",45,0,43,2,"49% (22/45)","Ohafia","abia_ohafia","Abia",5.66795540859031,7.80160005504767
22,0,21,1,1,23,"18% (4/22)","19% (4/21)","0% (0/1)",1,"0% (0/1)",0,"NA",0,"NA",22,0,21,1,"18% (4/22)","Osisioma Ngwa","abia_osisioma_ngwa","Abia",5.19565438607676,7.33273967391441
90,0,87,3,24,114,"34% (30/88)","35% (30/85)","0% (0/3)",0,"NA",1,"0% (0/1)",0,"NA",90,0,87,3,"34% (30/88)","Ugwunagbo","abia_ugwunagbo","Abia",5.01410426299602,7.34868481271617
24,15,1,8,0,24,"54% (13/24)","0% (0/1)","88% (7/8)",0,"NA",0,"NA",0,"NA",24,15,1,8,"54% (13/24)","Ukwa East","abia_ukwa_east","Abia",4.93069946110206,7.4181182311761
57,0,57,0,2,59,"54% (31/57)","54% (31/57)","NA",0,"NA",0,"NA",0,"NA",57,0,57,0,"54% (31/57)","Ukwa West","abia_ukwa_west","Abia",4.94569462647957,7.24954349076143
98,0,98,0,16,114,"76% (74/98)","76% (74/98)","NA",0,"NA",0,"NA",0,"NA",98,0,98,0,"76% (74/98)","Umuahia North","abia_umuahia_north","Abia",5.59524410787802,7.4849904818472
37,0,33,4,2,39,"54% (20/37)","52% (17/33)","75% (3/4)",3,"67% (2/3)",0,"NA",0,"NA",37,0,33,4,"54% (20/37)","Umuahia South","abia_umuahia_south","Abia",5.49390506581368,7.45542644468412
26,23,3,0,8,34,"42% (11/26)","100% (3/3)","NA",0,"NA",0,"NA",0,"NA",26,23,3,0,"42% (11/26)","Umunneochi","abia_umunneochi","Abia",5.96427700832601,7.40855557183264
78,0,43,35,0,78,"66% (50/76)","74% (31/42)","56% (19/34)",2,"50% (1/2)",1,"100% (1/1)",0,"NA",78,0,43,35,"66% (50/76)","Demsa","adamawa_demsa","Adamawa",9.38325045617851,12.0482679938747
203,30,8,165,3,206,"63% (127/202)","75% (6/8)","64% (105/165)",0,"NA",4,"50% (2/4)",1,"0% (0/1)",203,30,8,165,"63% (127/202)","Fufore","adamawa_fufore","Adamawa",9.18395315258376,12.6020023712921
162,0,153,9,0,162,"52% (85/162)","52% (79/153)","67% (6/9)",0,"NA",0,"NA",0,"NA",162,0,153,9,"52% (85/162)","Ganaye","adamawa_ganaye","Adamawa",8.404429992019,11.9627831424896
64,0,29,35,12,76,"73% (47/64)","86% (25/29)","63% (22/35)",1,"100% (1/1)",0,"NA",2,"50% (1/2)",64,0,29,35,"73% (47/64)","Gayuk","adamawa_gayuk","Adamawa",9.82791721876878,11.9199191124154
89,0,62,27,35,124,"53% (47/89)","53% (33/62)","52% (14/27)",1,"0% (0/1)",0,"NA",0,"NA",89,0,62,27,"53% (47/89)","Gombi","adamawa_gombi","Adamawa",9.43440312040108,12.4815755380259
297,0,157,140,20,317,"67% (198/297)","68% (107/157)","65% (91/140)",2,"50% (1/2)",8,"50% (4/8)",11,"55% (6/11)",297,0,157,140,"67% (198/297)","Grie","adamawa_grie","Adamawa",10.1830902651549,12.5443874202665
213,0,173,40,14,227,"64% (137/213)","63% (109/173)","70% (28/40)",1,"100% (1/1)",0,"NA",3,"100% (3/3)",213,0,173,40,"64% (137/213)","Hong","adamawa_hong","Adamawa",10.3039201870325,12.9200206310757
139,0,51,88,6,145,"63% (88/139)","61% (31/51)","65% (57/88)",3,"33% (1/3)",1,"0% (0/1)",5,"100% (5/5)",139,0,51,88,"63% (88/139)","Jada","adamawa_jada","Adamawa",8.67570178380748,12.3233344510283
35,0,1,34,1,36,"57% (20/35)","100% (1/1)","56% (19/34)",1,"100% (1/1)",0,"NA",0,"NA",35,0,1,34,"57% (20/35)","Lamurde","adamawa_lamurde","Adamawa",9.56083619530461,11.7107196353969
142,0,21,121,11,153,"68% (96/142)","71% (15/21)","67% (81/121)",3,"67% (2/3)",1,"0% (0/1)",3,"100% (3/3)",142,0,21,121,"68% (96/142)","Madagali","adamawa_madagali","Adamawa",10.8225527818946,13.5083512271328
248,12,11,225,1,249,"69% (170/248)","73% (8/11)","68% (154/225)",0,"NA",0,"NA",0,"NA",248,12,11,225,"69% (170/248)","Maiha","adamawa_maiha","Adamawa",9.84245963872916,13.162659448377
67,0,16,51,82,149,"69% (46/67)","75% (12/16)","67% (34/51)",11,"100% (11/11)",4,"50% (2/4)",0,"NA",67,0,16,51,"69% (46/67)","Mayo-Belwa","adamawa_mayo_belwa","Adamawa",8.95683410034765,11.9446826368313
187,0,19,168,40,227,"58% (107/185)","44% (8/18)","59% (99/167)",4,"0% (0/4)",3,"50% (1/2)",12,"58% (7/12)",187,0,19,168,"58% (107/185)","Michika","adamawa_michika","Adamawa",10.5746150628281,13.3983795358963
56,10,0,46,0,56,"38% (21/56)","NA","41% (19/46)",1,"0% (0/1)",0,"NA",0,"NA",56,10,0,46,"38% (21/56)","Mubi North","adamawa_mubi_north","Adamawa",10.323190300545,13.3100042049282
89,0,13,76,0,89,"46% (41/89)","31% (4/13)","49% (37/76)",3,"67% (2/3)",0,"NA",5,"40% (2/5)",89,0,13,76,"46% (41/89)","Mubi South","adamawa_mubi_south","Adamawa",10.1743195749618,13.3242981224411
