"Month","Day","Year","Temp","Date"
"1","1","1995",50.7,1995-01-01
"1","2","1995",52.1,1995-01-02
"1","3","1995",53.8,1995-01-03
"1","4","1995",53.7,1995-01-04
"1","5","1995",54.5,1995-01-05
"1","6","1995",54.3,1995-01-06
"1","7","1995",57.1,1995-01-07
"1","8","1995",55.6,1995-01-08
"1","9","1995",54,1995-01-09
"1","10","1995",52.4,1995-01-10
"1","11","1995",54.8,1995-01-11
"1","12","1995",54.5,1995-01-12
"1","13","1995",55.5,1995-01-13
"1","14","1995",56.4,1995-01-14
"1","15","1995",55.8,1995-01-15
"1","16","1995",56.4,1995-01-16
"1","17","1995",53.7,1995-01-17
"1","18","1995",53.7,1995-01-18
"1","19","1995",54.5,1995-01-19
"1","20","1995",56,1995-01-20
"1","21","1995",56.3,1995-01-21
"1","22","1995",53.7,1995-01-22
"1","23","1995",53.6,1995-01-23
"1","24","1995",55.5,1995-01-24
"1","25","1995",58,1995-01-25
"1","26","1995",58.3,1995-01-26
"1","27","1995",59.8,1995-01-27
"1","28","1995",61.4,1995-01-28
"1","29","1995",60.3,1995-01-29
"1","30","1995",56.8,1995-01-30
"1","31","1995",58.8,1995-01-31
"2","1","1995",58,1995-02-01
"2","2","1995",57,1995-02-02
"2","3","1995",58.3,1995-02-03
"2","4","1995",58.5,1995-02-04
"2","5","1995",58.3,1995-02-05
"2","6","1995",58.5,1995-02-06
"2","7","1995",62.7,1995-02-07
"2","8","1995",65,1995-02-08
"2","9","1995",66.3,1995-02-09
"2","10","1995",67.6,1995-02-10
"2","11","1995",66.5,1995-02-11
"2","12","1995",68.4,1995-02-12
"2","13","1995",69.1,1995-02-13
"2","14","1995",66.8,1995-02-14
"2","15","1995",62.4,1995-02-15
"2","16","1995",62.5,1995-02-16
"2","17","1995",63.5,1995-02-17
"2","18","1995",66.6,1995-02-18
"2","19","1995",64,1995-02-19
"2","20","1995",64.9,1995-02-20
"2","21","1995",62.1,1995-02-21
"2","22","1995",53.8,1995-02-22
"2","23","1995",54.2,1995-02-23
"2","24","1995",58.3,1995-02-24
"2","25","1995",59.7,1995-02-25
"2","26","1995",65.8,1995-02-26
"2","27","1995",64.6,1995-02-27
"2","28","1995",62.9,1995-02-28
"3","1","1995",61.7,1995-03-01
"3","2","1995",61.4,1995-03-02
"3","3","1995",61.5,1995-03-03
"3","4","1995",60.9,1995-03-04
"3","5","1995",63.7,1995-03-05
"3","6","1995",63.3,1995-03-06
"3","7","1995",64.7,1995-03-07
"3","8","1995",65.9,1995-03-08
"3","9","1995",68.1,1995-03-09
"3","10","1995",64.3,1995-03-10
"3","11","1995",63.1,1995-03-11
"3","12","1995",67.1,1995-03-12
"3","13","1995",68.5,1995-03-13
"3","14","1995",69.1,1995-03-14
"3","15","1995",68.8,1995-03-15
"3","16","1995",74.5,1995-03-16
"3","17","1995",74.5,1995-03-17
"3","18","1995",76.3,1995-03-18
"3","19","1995",76.1,1995-03-19
"3","20","1995",76.5,1995-03-20
"3","21","1995",74.8,1995-03-21
"3","22","1995",76.3,1995-03-22
"3","23","1995",81.8,1995-03-23
"3","24","1995",82.3,1995-03-24
"3","25","1995",75.4,1995-03-25
"3","26","1995",71.9,1995-03-26
"3","27","1995",73.1,1995-03-27
"3","28","1995",78.1,1995-03-28
"3","30","1995",73.9,1995-03-30
"3","31","1995",73.2,1995-03-31
"4","1","1995",74.9,1995-04-01
"4","2","1995",74.9,1995-04-02
"4","3","1995",74.3,1995-04-03
"4","4","1995",75.5,1995-04-04
"4","5","1995",78.1,1995-04-05
"4","6","1995",78.3,1995-04-06
"4","7","1995",80.6,1995-04-07
"4","8","1995",82,1995-04-08
"4","9","1995",84.1,1995-04-09
"4","10","1995",84.9,1995-04-10
"4","11","1995",80.9,1995-04-11
"4","12","1995",79.6,1995-04-12
"4","13","1995",78.7,1995-04-13
"4","14","1995",82.9,1995-04-14
"4","15","1995",84.9,1995-04-15
"4","16","1995",86.4,1995-04-16
"4","17","1995",86.2,1995-04-17
"4","18","1995",82.9,1995-04-18
"4","19","1995",84.3,1995-04-19
"4","20","1995",79.7,1995-04-20
"4","21","1995",80.5,1995-04-21
"4","22","1995",85.8,1995-04-22
"4","23","1995",85.8,1995-04-23
"4","24","1995",87.9,1995-04-24
"4","25","1995",90.4,1995-04-25
"4","26","1995",89.3,1995-04-26
"4","27","1995",87,1995-04-27
"4","28","1995",89.7,1995-04-28
"4","29","1995",90,1995-04-29
"4","30","1995",92.9,1995-04-30
"5","1","1995",90.8,1995-05-01
"5","2","1995",86.9,1995-05-02
"5","3","1995",90.5,1995-05-03
"5","4","1995",89.4,1995-05-04
"5","5","1995",89,1995-05-05
"5","6","1995",87.5,1995-05-06
"5","7","1995",92.3,1995-05-07
"5","8","1995",89.6,1995-05-08
"5","9","1995",92.4,1995-05-09
"5","10","1995",90.3,1995-05-10
"5","11","1995",93,1995-05-11
"5","12","1995",94.5,1995-05-12
"5","13","1995",96.1,1995-05-13
"5","14","1995",95.5,1995-05-14
"5","15","1995",94.7,1995-05-15
"5","16","1995",98.7,1995-05-16
"5","17","1995",97.4,1995-05-17
"5","18","1995",95.2,1995-05-18
"5","19","1995",96.2,1995-05-19
"5","20","1995",96.1,1995-05-20
"5","21","1995",95,1995-05-21
"5","22","1995",93.1,1995-05-22
"5","23","1995",91,1995-05-23
"5","24","1995",91.6,1995-05-24
"5","25","1995",91.2,1995-05-25
"5","26","1995",93.1,1995-05-26
"5","27","1995",94.7,1995-05-27
"5","28","1995",94.7,1995-05-28
"5","29","1995",94.4,1995-05-29
"5","30","1995",96.4,1995-05-30
"5","31","1995",97.5,1995-05-31
"6","1","1995",98.2,1995-06-01
"6","2","1995",101.7,1995-06-02
"6","3","1995",99.9,1995-06-03
"6","4","1995",101.1,1995-06-04
"6","5","1995",99.1,1995-06-05
"6","6","1995",98.5,1995-06-06
"6","7","1995",100.1,1995-06-07
"6","8","1995",99.9,1995-06-08
"6","9","1995",101.9,1995-06-09
"6","10","1995",100.7,1995-06-10
"6","11","1995",100.3,1995-06-11
"6","12","1995",100.9,1995-06-12
"6","13","1995",100.7,1995-06-13
"6","14","1995",102.8,1995-06-14
"6","15","1995",102.9,1995-06-15
"6","16","1995",102.3,1995-06-16
"6","17","1995",101.9,1995-06-17
"6","18","1995",98.3,1995-06-18
"6","19","1995",88,1995-06-19
"6","20","1995",81.5,1995-06-20
"6","21","1995",82.9,1995-06-21
"6","22","1995",79.1,1995-06-22
"6","23","1995",86.2,1995-06-23
"6","24","1995",90.9,1995-06-24
"6","25","1995",93.4,1995-06-25
"6","26","1995",94.5,1995-06-26
"6","27","1995",91.7,1995-06-27
"6","28","1995",89.5,1995-06-28
"6","29","1995",91.7,1995-06-29
"6","30","1995",94.3,1995-06-30
"7","1","1995",93.8,1995-07-01
"7","2","1995",97.2,1995-07-02
"7","3","1995",94.1,1995-07-03
"7","4","1995",97.3,1995-07-04
"7","5","1995",94.4,1995-07-05
"7","6","1995",96.4,1995-07-06
"7","7","1995",96,1995-07-07
"7","8","1995",91.6,1995-07-08
"7","9","1995",91,1995-07-09
"7","10","1995",88.5,1995-07-10
"7","11","1995",86.6,1995-07-11
"7","12","1995",83.4,1995-07-12
"7","13","1995",89.5,1995-07-13
"7","14","1995",90.1,1995-07-14
